species,taxonKeys,Kingdom,Phylum,Class,Order,Family,Genus
Bombus pensylvanicus,1340416,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus
Chorizagrotis auxiliaris,1784677,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Chorizagrotis
Coccinella septempunctata,4990191,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Coccinella
Cysteodemus wislizeni,1046246,Animalia,Arthropoda,Insecta,Coleoptera,Meloidae,Cysteodemus
Dasymutilla vestita,10232545,Animalia,Arthropoda,Insecta,Hymenoptera,Mutillidae,Dasymutilla
Eleodes caudifera,9387859,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Eleodes
Eleodes obscura,7809753,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Eleodes
Euptoieta claudia,1894342,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Euptoieta
Hippodamia convergens,4989894,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Hippodamia
Hyles lineata,1862841,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Hyles
Jadera haematoloma,2050227,Animalia,Arthropoda,Insecta,Hemiptera,Rhopalidae,Jadera
Junonia coenia,5130514,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Junonia
Libellula saturata,1427950,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Libellula
Mallophora fautrix,5092838,Animalia,Arthropoda,Insecta,Diptera,Asilidae,Mallophora
Manduca rustica,1864021,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Manduca
Manduca sexta,1863978,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Manduca
Megatibicen dealbatus,9425968,Animalia,Arthropoda,Insecta,Hemiptera,Cicadidae,Megatibicen
Melanoplus differentialis,1699044,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus
Nymphalis antiopa,5130682,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Nymphalis
Papilio multicaudata,1937803,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio
Pogonomyrmex rugosus,1325373,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Pogonomyrmex
Polistes aurifer,1310524,Animalia,Arthropoda,Insecta,Hymenoptera,Eumenidae,Polistes
Pontia protodice,5137800,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Pontia
Schistocerca shoshone,1707250,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Schistocerca
Sphecius speciosus,1338940,Animalia,Arthropoda,Insecta,Hymenoptera,Crabronidae,Sphecius
Stagmomantis limbata,1404977,Animalia,Arthropoda,Insecta,Mantodea,Mantidae,Stagmomantis
Strymon melinus,1925429,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Strymon
Vanessa cardui,4299368,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Vanessa
Xylocopa sonorina,9016167,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Xylocopa
Armadillidium vulgare,2203611,Animalia,Arthropoda,Malacostraca,Isopoda,Armadillidiidae,Armadillidium
