"species","taxonKeys","Kingdom","Phylum","Class","Order","Family","Genus","fileName","AUCtest","AUCdiff","CBItest","threshold","nobs","nthin","importantVars","importantValue","percentContribution","Features","Regularization","AUCtrain"
"Abaeis nicippe",1920621,"Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Abaeis","Abaeis_nicippe.csv",0.705157877333332,0.0728764859886747,0.90625,0.54650447,2543,2518,"AHM;DD_0;EXT;Eref;MSP;MWMT;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","0;44.5555;1.8892;0.7748;2.6326;2.8047;0.4517;3.6825;17.6508;13.7578;1.0377;0.196;10.5667","0;3.295;0.7111;0.291;1.6292;3.9246;36.3436;0.2489;12.2904;34.6578;0.8065;0.0501;5.7519","LQHP",2.5,0.752084742533069
"Acalymma vittatum",1047583,"Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Acalymma","Acalymma_vittatum.csv",0.760074868417349,0.0763290395013776,0.79025,0.58612992,782,780,"AHM;CMD;DD_0;EXT;MAP;MSP;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","0;0.8465;15.8832;7.2907;6.4596;0;8.59;0.2724;17.7868;21.1884;8.8687;0;12.8137","0;12.179;12.6348;3.3771;0.2449;0;7.0331;1.7268;10.1456;8.2384;35.1957;0.0089;9.2155","LQ",0.5,0.76801833753678
"Acanalonia conica",2064632,"Animalia","Arthropoda","Insecta","Hemiptera","Acanaloniidae","Acanalonia","Acanalonia_conica.csv",0.753618694601643,0.0650450238072881,0.83775,0.53669792,1364,1357,"AHM;CMD;DD_0;EXT;MAP;MSP;MWMT;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","0;4.1684;0.1441;11.5917;0;1.3555;18.5249;9.9924;1.1972;15.9383;15.9226;9.7783;0;11.3867","0;4.2241;12.9433;2.9789;0;1.6424;0.3571;4.4683;1.9037;8.8377;5.2869;36.4406;0;20.9171","LQ",0.5,0.764555494737201
"Acanthis flammea",5231630,"Animalia","Chordata","Aves","Passeriformes","Fringillidae","Acanthis","Acanthis_flammea.csv",0.809796357809619,0.0964409670331497,0.9325,0.61863175,28890,28539,"AHM;CMD;DD18;EXT;MCMT;MSP;PAS;PPT_sp;PPT_wt;RH;SHM;Tave_at;bFFP","0;20.0218;20.852;8.4825;20.5805;0;0;5.3418;0.2945;0;0;12.0428;12.3841","0;16.1336;17.6643;4.4136;50.4732;0;0;0.3246;5.3829;0;0;0.5512;5.0566","LQ",2,0.797619485538474
"Acanthis hornemanni",5231646,"Animalia","Chordata","Aves","Passeriformes","Fringillidae","Acanthis","Acanthis_hornemanni.csv",0.749949491405557,0.141933610689271,0.85375,0.59708597,4358,4312,"AHM;CMD;DD18;EMT;EXT;MCMT;NFFD;PAS;PPT_at;PPT_sm;PPT_sp;RH;SHM;Tave_sp;bFFP;eFFP","0;11.0184;26.4674;8.4865;2.3033;15.6099;0;8.8609;0.3996;2.329;14.0726;0;5.0787;4.356;1.0178;0","0;3.734;50.1757;0.886;4.1635;5.4765;0;20.5654;0.1795;0.3933;4.142;0;2.7116;4.4166;3.1559;0","LQHP",1.5,0.797864667187108
"Acanthocephala declivis",5156078,"Animalia","Arthropoda","Insecta","Hemiptera","Coreidae","Acanthocephala","Acanthocephala_declivis.csv",0.70977896946856,0.105354230391885,0.75,0.53891154,1565,1542,"CMD;EXT;Eref;MAP;MSP;MWMT;NFFD;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM","4.0138;11.3702;8.9061;2.5547;1.8142;16.836;4.8257;23.8225;3.4196;2.6782;8.5884;8.4057;2.765","1.6278;2.2029;3.2979;0.2333;0.7609;8.3192;8.0558;30.5011;3.8303;3.5066;27.3758;9.8115;0.477","LQHP",0.5,0.807201383664887
"Acanthocephala terminalis",5156079,"Animalia","Arthropoda","Insecta","Hemiptera","Coreidae","Acanthocephala","Acanthocephala_terminalis.csv",0.616158831550083,0.0932832109494357,0.61225,0.60064093,2197,2191,"DD_0;EXT;MAP;MSP;MWMT;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","18.4137;0;0;19.2579;0;0;28.9895;3.7756;2.9085;13.0466;0;13.6082","8.6432;0;0;18.1875;0;0;31.3646;0.6899;0.4547;34.2434;0;6.4168","L",3,0.674337303340074
"Accipiter cooperii",2480621,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_cooperii.csv",0.720177293466071,0.114072526137946,0.89075,0.58587644,80186,79210,"AHM;CMD;DD_0;EXT;MSP;MWMT;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","2.9809;32.444;33.8294;0.4835;4.5689;1.4344;3.15;0.229;4.1797;5.6851;1.144;0;9.8711","14.5342;16.3473;26.0041;8.5136;7.9941;5.3301;0.0906;0.0053;2.9235;2.0513;1.5733;1.167;13.4655","P",1,0.734337361708492
"Accipiter gentilis",2480589,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_gentilis.csv",0.816612793352678,0.0835609255136714,0.96475,0.59232529,16915,16710,"AHM;CMD;CMI;DD18;DD_0;EMT;EXT;MSP;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;Tave_sp;bFFP","0.5436;2.4836;0.1145;25.5091;24.354;0;0.0702;0.7704;36.3327;2.0547;0.1715;0.794;0.2836;0;5.8083;0.7098","0.0709;4.4086;0.0036;30.4713;14.3342;0;12.0571;0.0148;19.5048;0.5716;0.028;0.0709;0.2576;0;3.2695;14.937","P",2.5,0.785177872863488
"Accipiter striatus",9740253,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter_striatus.csv",0.761352638874043,0.0947882675005052,0.93175,0.58513391,69297,67911,"AHM;CMD;CMI;DD_0;EXT;MSP;MWMT;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","3.0697;16.6829;0.9054;25.4893;2.6361;9.1526;8.2719;6.2756;3.2719;3.0046;12.0178;1.2314;0;7.9907","2.0562;4.1864;0.0891;40.8492;0.6989;2.0577;2.4229;3.8259;0.1643;14.8211;23.5688;0.205;0;5.0544","H",0.5,0.784727533263592
